id,name,description,slug
4d93743b-f375-42cc-bb16-11a626838d3c,Топки,"Топки ТШПМ, ТЛПХ, ТЧЗМ.
Они полностью механизируют ручной труд и обеспечивают автоматическую работу по заданному циклу в системе котла.",topki
88efb582-b55c-4a02-9b41-5ccaca0f521e,Водогрейные котлы,"Водогрейные котлы КВр, КВм, КВм Авто, KBa, мощностью до 4 МВт для отопления и горячего водоснабжения зданий и промышленных предприятий.",vodogreynye-kotly
